artist,url,artist_country,location,date_string,insta,spotify,rf_short_description,m_rating,l_rating,comment,emoji_beskrivelse,start_time,new_date_string,start_datetime
Shasimone,https://www.roskilde-festival.dk/da/years/2023/acts/shasimone/,UK,👩 Eos,13:00 Fredag 30. juni 2023,https://www.instagram.com/shasimone/,https://open.spotify.com/artist/0R9Z8Eu8CF5KN4zLJSRFJw?si=dcCDNJIGSrqSAVj12YRyJw,Britisk-ghanesisk raptalent på vej mod kogepunktet,👍Ja, ,"Britisk hiphop, gode beats med ghanesiske undertoner!", ,13:00,30jun 2023,2023-06-30 13:00:00+02:00
Shaé Universe,https://www.roskilde-festival.dk/da/years/2023/acts/sha%C3%A9-universe/,NG,👩 Eos,15:15 Torsdag 29. juni 2023,https://www.instagram.com/shaesuniverse/?hl=en,https://open.spotify.com/artist/5gaElx30yTGGiOCVnml29N?si=PwYM84maSe6an1qoaa0VdA,"Fantastisk nigeriansk sangerinde forener soul, R&B og drill",😌Tømmermændsmusik,👍Ja,Mega smooth soul og R&B, ,15:15,29jun 2023,2023-06-29 15:15:00+02:00
Siamese,https://www.roskilde-festival.dk/da/years/2023/acts/siamese/,DK,🏝️ Avalon,20:00 Lørdag 1. juli 2023,https://www.instagram.com/siamese_band,https://open.spotify.com/artist/0Hx4gv3eoiodtu6XYHF1X0?si=s2NPDz7hS32E&nd=1,Genrenedbrydende metal med tunge guitarbredsider og storladne poppede omkvæd,🤡Wildcard, ,solid rock,🎸🤘🎶💥💫,20:00,1jul 2023,2023-07-01 20:00:00+02:00
Sisso & Maiko + Rehema & Asher Tajiri,https://www.roskilde-festival.dk/da/years/2023/acts/sisso-maiko-plus-rehema-asher-tajiri/,TZ,🏝️ Gloria,23:30 Onsdag 28. juni 2023,https://www.instagram.com/rehematajiriofficial/,https://open.spotify.com/album/5Hzxd5QnTg3dSovyTXv6F5?si=ndrwJrAWQUGNBmXMRgsq0g,"Dar Es Salaams punkede og hurtige elektroniske dansemusik, singeli, sætter gang i kroppen ",🤡Wildcard, ,808's og traditionelt afrikansk. ,🎧🌃💃🕺🎶,23:30,28jun 2023,2023-06-28 23:30:00+02:00
Siti Muharam,https://www.roskilde-festival.dk/da/years/2023/acts/siti-muharam/,TZ,🏝️ Gloria,12:30 Fredag 30. juni 2023,https://www.instagram.com/roskildefestival/,https://open.spotify.com/artist/2YiO4vmSdl8Pz3MFyohYyo?si=oZD8g-97QK2iFuwVsS96xg,Taarab-genrens gyldne stemme giver nyt liv til stærk sangarv , , , , ,12:30,30jun 2023,2023-06-30 12:30:00+02:00
Situationsfornærmelse,https://www.roskilde-festival.dk/da/years/2023/acts/situationsforn%C3%A6rmelse/,DK,🌍 Gaia,15:30 Tirsdag 27. juni 2023,https://www.instagram.com/situationsfornaermelse/?hl=da,https://open.spotify.com/artist/6ndFd1sXXoVHSOZmOscjCl?si=QdWczM01QxiG1Zc_uC1Mlg,Rapkæftet dansksproget lømmelrock fra Aarhus , , , , ,15:30,27jun 2023,2023-06-27 15:30:00+02:00
Snorre Elvin,https://www.roskilde-festival.dk/da/years/2023/acts/snorre-elvin/,,Platform,18:00 Torsdag 29. juni 2023,https://www.instagram.com/snorreeelvin/,,Danser og koreograf inviterer os til sin kontinuerlige vandrende forestilling på Platform, , , , ,18:00,29jun 2023,2023-06-29 18:00:00+02:00
Sofie Birch,https://www.roskilde-festival.dk/da/years/2023/acts/sofie-birch/,,Platform,13:30 Lørdag 1. juli 2023,https://www.instagram.com/sofiebirchxix/,https://open.spotify.com/artist/6kEyGr2dFnzcKGxpHmnJnn?si=zBFSPygySROEXu5Psra3ig,Tag en meditativ pause med Sofie Birchs helbredende klange og drømmende ambient , , , , ,13:30,1jul 2023,2023-07-01 13:30:00+02:00
Sofie Riise Nors,https://www.roskilde-festival.dk/da/years/2023/acts/sofie-riise-nors/,DK,📣 Flokkr,10:00 Søndag 25. juni 2023,https://www.instagram.com/sofieriisenors/,,"Kom til feministisk tegneworkshop, hvor du kan konfrontere din indre patriarkalske kritiker", , , , ,10:00,25jun 2023,2023-06-25 10:00:00+02:00
Son Rompe Pera,https://www.roskilde-festival.dk/da/years/2023/acts/son-rompe-pera/,MX,🌍 Gaia,00:30 Onsdag 28. juni 2023,https://www.instagram.com/sonrompepera/,https://open.spotify.com/artist/0UKHKimjIGeFoS29LxWf4V?si=8cVHUSyWQnyYL2Nc0pRrnQ,Mexicansk kvintet sætter gang i moshpit med cumbia og marimba-punk ,🤯JA!,👍Ja,cumbia-dansefest, ,00:30,28jun 2023,2023-06-29 00:30:00+02:00
Sonic Girl,https://www.roskilde-festival.dk/da/years/2023/acts/sonic-girl/,,👩 Eos,22:15 Søndag 25. juni 2023,https://www.instagram.com/sonicgirl_world/,https://open.spotify.com/artist/31vO4IuGYTlzTeEPIVw8TR?si=7svqwuKESZqdiPqHxw5SKg,Futuristisk popfest fra dansk hyperpop-vidunder ,😌Tømmermændsmusik, ,lidt for futuristisk til mig, ,22:15,25jun 2023,2023-06-25 22:15:00+02:00
Sorry,https://www.roskilde-festival.dk/da/years/2023/acts/sorry/,UK,🏝️ Gloria,20:30 Lørdag 1. juli 2023,https://www.instagram.com/sorrybanduk/,https://open.spotify.com/artist/5eUda4BaWhUQWWJiP1ml5v?si=ct-EnbIsQuek3iOmUuqTRA,Skamrost London-kvintet fornyer rocken på underspillet og skramlet manér , , , , ,20:30,1jul 2023,2023-07-01 20:30:00+02:00
Soul Glo,https://www.roskilde-festival.dk/da/years/2023/acts/soul-glo/,US,🏝️ Gloria,18:30 Torsdag 29. juni 2023,https://www.instagram.com/soulglophl/?hl=da,https://open.spotify.com/artist/0mWrp0C4ShdOjs7P29Gzan?si=AZl6I0W8Rrm5bbpgyULsmA,"Indignerede hardcorepunkere leger med blæsere, samples og hiphopbeats.",💀Nej,💀Nej, , ,18:30,29jun 2023,2023-06-29 18:30:00+02:00
Special Interest,https://www.roskilde-festival.dk/da/years/2023/acts/special-interest/,US,🏝️ Gloria,20:30 Torsdag 29. juni 2023,https://www.instagram.com/specialinterest.no,https://open.spotify.com/artist/2CYTLJOt91YLe1JLStFu6m?si=bLULh4MaRvil5mx9zjWMgA,"Eklektisk punkband får dig til at danse, mens verden forfalder",😌Tømmermændsmusik,😌Tømmermændsmusik,"lidt kedeligt, punk/elektronisk ish", ,20:30,29jun 2023,2023-06-29 20:30:00+02:00
