artist,url,artist_country,location,date_string,insta,spotify,rf_short_description,m_rating,l_rating,comment,emoji_beskrivelse,start_time,new_date_string,start_datetime
070 Shake,https://www.roskilde-festival.dk/da/years/2023/acts/070-shake/,US,🚀 Apollo,20:00 Torsdag 29. juni 2023,https://www.instagram.com/070shake/,https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI,Amerikansk raptalent fornyer hiphoppen og gør den futuristisk. ,🤡Wildcard, ,"well-produced pop but not really touching me. But there's a few electronic songs she's sung on, so this could get pretty wild",🎤🇺🇸💫🚀,20:00,29jun 2023,2023-06-29 20:00:00+02:00
Abji_Hypersun Feat. Moraya,https://www.roskilde-festival.dk/da/years/2023/acts/abji_hypersun-feat-moraya/,DK,Platform,00:15 Onsdag 28. juni 2023,https://www.instagram.com/abji_hypersun/,https://open.spotify.com/artist/5t15kyeJJYD6BnJ6s8J1Rt?si=G6CO5FOoS460YUUNBfSy-A,"En drømmende, teatralsk og radikal performance dedikeret til modstandens ånd ",😌Tømmermændsmusik, ,"det er lidt for funky til mig, det her", ,00:15,28jun 2023,2023-06-29 00:15:00+02:00
Aches,https://www.roskilde-festival.dk/da/years/2023/acts/aches/,IE,🏟️ Festival Site,Onsdag 28. juni 2023,https://www.instagram.com/achesdub/,,Street-artist skaber en unik verden af farveudtryk på Roskilde Festival , , , , ,13:37,28jun 2023,2023-06-28 13:37:00+02:00
Adekunle Gold,https://www.roskilde-festival.dk/da/years/2023/acts/adekunle-gold/,NG,👩 Eos,15:15 Fredag 30. juni 2023,https://www.instagram.com/adekunlegold/,https://open.spotify.com/artist/2IK173RXLiCSQ8fhDlAb3s,Nigerianske Adekunle Gold bygger bro mellem moderne pop og afrobeat.,👍Ja,👍Ja,smooth-chill afrikansk pop-hiphop, ,15:15,30jun 2023,2023-06-30 15:15:00+02:00
Adédèjì,https://www.roskilde-festival.dk/da/years/2023/acts/ad%C3%A9d%C3%A8j%C3%AC/,NG,🏝️ Avalon,00:30 Fredag 30. juni 2023,https://www.instagram.com/adedejinfo/,https://open.spotify.com/artist/0oMrlKaHe7umhMhnx3NIP6?si=E-MnJD2kSsWmP-L9YJ8W1w,Sjælfuld musiker tager dig på groovy rejse gennem Lagos  , , , , ,00:30,30jun 2023,2023-07-01 00:30:00+02:00
Afskum,https://www.roskilde-festival.dk/da/years/2023/acts/afskum/,,👩 Eos,17:30 Lørdag 1. juli 2023,https://www.instagram.com/afskumerfarlig/,https://open.spotify.com/playlist/5W0vbpdNlcuIw2N1S5Cr8C,Den kompromisløse sanger er klar til atter at rive tæppet væk under publikum med intenst show , , , , ,17:30,1jul 2023,2023-07-01 17:30:00+02:00
Agnes Hartwich,https://www.roskilde-festival.dk/da/years/2023/acts/agnes-hartwich/,DK,👩 Eos,16:15 Søndag 25. juni 2023,https://www.instagram.com/agneshartwich/?hl=da,https://open.spotify.com/artist/5dannHlHirCopWH6vT2DpX?si=ZktaXKJeQxesi90mJzbLEQ,Fremadstormende rockhåb sætter strøm til ungdommens længsel, , , , ,16:15,25jun 2023,2023-06-25 16:15:00+02:00
Aitch,https://www.roskilde-festival.dk/da/years/2023/acts/aitch/,UK,👩 Eos,19:30 Lørdag 1. juli 2023,https://www.instagram.com/aitch/,https://open.spotify.com/artist/2PJEagPIxaBugeMjIyKVXF?si=_f9C3ehoRQik3whWPGR5gA,Ung engelsk komet forener fremadskuende rap med Manchesters legendariske musikarv, , , , ,19:30,1jul 2023,2023-07-01 19:30:00+02:00
Alex/Alexandra Jönsson,https://www.roskilde-festival.dk/da/years/2023/acts/alexalexandra-joensson/,DK,⛺ Campsite,Søndag 25. juni 2023,https://www.instagram.com/ajonssonstudio/,,Kunstner undersøger adfærd og omsorg i midlertidige festfællesskaber  , , , , ,13:37,25jun 2023,2023-06-25 13:37:00+02:00
Alice Glass,https://www.roskilde-festival.dk/da/years/2023/acts/alice-glass/,CA,🚀 Apollo,21:45 Fredag 30. juni 2023,https://www.instagram.com/_alice_glass/,https://open.spotify.com/artist/4ukk0IyB7vL97QirpOcNr3?si=AdqZaMijRFSXgZ55e_ylew,Personlige dæmoner uddrives med gotisk synthpop.,👍Ja,🤡Wildcard,hvis de spiller sent om aftenen kan vi godt tage til rave-party, ,21:45,30jun 2023,2023-06-30 21:45:00+02:00
"Angel Wei, Eliyah Mesayer & Stine Victoria",https://www.roskilde-festival.dk/da/years/2023/acts/angel-wei-eliyah-mesayer-stine-victoria/,DK/INT,Platform,14:45 Lørdag 1. juli 2023,https://www.instagram.com/roskildefestival/,,"Interaktiv performance, der flytter grænserne for det synlige og det, der er", , , , ,14:45,1jul 2023,2023-07-01 14:45:00+02:00
Angstskrig,https://www.roskilde-festival.dk/da/years/2023/acts/angstskrig/,DK,🌍 Gaia,20:00 Mandag 26. juni 2023,https://www.instagram.com/angstskrigofficial/,https://open.spotify.com/artist/6iNPyVa4pnZANbl6umJNUb?si=pFLXIK6pScuIvmsBW2vlzQ,Dansksproget black metal-duo med rå nerve, , , , ,20:00,26jun 2023,2023-06-26 20:00:00+02:00
Angélique Kidjo,https://www.roskilde-festival.dk/da/years/2023/acts/ang%C3%A9lique-kidjo/,BJ,🎪 Arena,19:30 Lørdag 1. juli 2023,https://www.instagram.com/angeliquekidjo/,https://open.spotify.com/artist/51qUDJb5AtQX6jIL4VJx6M,Afropop-legenden vender tilbage til Roskilde,👍Ja, ,Lyder som noget der kunne være med i løvernes konge, ,19:30,1jul 2023,2023-07-01 19:30:00+02:00
Animistic Beliefs,https://www.roskilde-festival.dk/da/years/2023/acts/animistic-beliefs/,NL,🚀 Apollo,00:00 Fredag 30. juni 2023,https://www.instagram.com/animisticbeliefs/,https://open.spotify.com/artist/29S2cn8e5Hg0HuQxAuR2Sr?si=bPrk7dw6TreHi2OQ5L6kLg,"Techno, animisme og asiatiske klange smelter sammen i dekolonialiseret dansemusik ",😌Tømmermændsmusik, ,meh, ,00:00,30jun 2023,2023-07-01 00:00:00+02:00
Aperly High,https://www.roskilde-festival.dk/da/years/2023/acts/aperly-high/,DK,🌍 Gaia,23:00 Mandag 26. juni 2023,https://www.instagram.com/aperlyhigh/,https://open.spotify.com/artist/6epKo2ka9bTo3E1AaHEq5o?si=bsC4laTPT8GASM8yxArkIQ,En hyperpoppet og punket hyldest til ungdommens ekstreme følelseshav , , , , ,23:00,26jun 2023,2023-06-26 23:00:00+02:00
Apparatus 22,https://www.roskilde-festival.dk/da/years/2023/acts/apparatus-22/,RO/BE,🏟️ Festival Site,Onsdag 28. juni 2023,https://www.instagram.com/roskildefestival/,,Kunstnerkollektiv bruger håb til kritisk at navigere i nutiden og fremtiden, , , , ,13:37,28jun 2023,2023-06-28 13:37:00+02:00
"Aram Ostadian-Binai, Babak Vakili, Liraz & Melodi Ghazal",https://www.roskilde-festival.dk/da/years/2023/acts/aram-ostadian-binai-babak-vakili-liraz-melodi-ghazal/,DK,🏝️ Avalon,12:00 Fredag 30. juni 2023,https://www.instagram.com/liraz_naz/?hl=da,,Tre kunstnere med iranske rødder fortæller om musikkens betydning for den iranske kamp for frihed, , , , ,12:00,30jun 2023,2023-06-30 12:00:00+02:00
Armand Hammer,https://www.roskilde-festival.dk/da/years/2023/acts/armand-hammer/,US,👩 Eos,20:45 Onsdag 28. juni 2023,https://www.instagram.com/armandhammernyc/,https://open.spotify.com/artist/3SCI7sXHUZIeDKMWC5NT9C?si=YZR2UxnVRQe7b4wxrqpWxw,Innovativ New Yorker-duo byder på ætsende og politisk rap,😌Tømmermændsmusik, ,chill jazz akkorder + rap, ,20:45,28jun 2023,2023-06-28 20:45:00+02:00
Artem,https://www.roskilde-festival.dk/da/years/2023/acts/artem/,,"☠️ Destroy Me Once, Destroy Me Twice",17:00 Søndag 25. juni 2023,https://www.instagram.com/artem.kbh/,,Ungt kunstnerkollektiv øger bevidstheden om ligestilling gennem Party of Your Dreams , , , , ,17:00,25jun 2023,2023-06-25 17:00:00+02:00
Ash Olsen,https://www.roskilde-festival.dk/da/years/2023/acts/ash-olsen/,,👩 Eos,16:15 Mandag 26. juni 2023,https://www.instagram.com/asholsen/,https://open.spotify.com/artist/0ttXrMwLh27nHwox4z8BYx?si=I-orpp30SiaqXg1Jz6Ur-g,Norges nye hiphop-stjerne favner både følsomme ballader og rå attitude , , , , ,16:15,26jun 2023,2023-06-26 16:15:00+02:00
August Høyen,https://www.roskilde-festival.dk/da/years/2023/acts/august-h%C3%B8yen/,DK,👩 Eos,14:45 Tirsdag 27. juni 2023,https://www.instagram.com/augusthoeyen/,https://open.spotify.com/artist/3nvGdNkcrq1IYHgJBw28Nm?si=sAvALVmsR1C54qK4mX1qwg,Følsom sangskriver spreder kærlighed med en blanding af R&B og folket sangskrivning , , , , ,14:45,27jun 2023,2023-06-27 14:45:00+02:00
August Rosenbaum,https://www.roskilde-festival.dk/da/years/2023/acts/august-rosenbaum/,,🏝️ Gloria,21:30 Onsdag 28. juni 2023,https://www.instagram.com/augustrosenbaum_/?hl=en,https://open.spotify.com/artist/60jACvCiMkGWezYS8VZXQ4?si=qixV9XicTsivCeFs0c0haQ,Ambitiøs musikalsk ener på sjælfuldt popeventyr  ,🤯JA!, ,🎹🎹🎹🎹🎹 jazz/pop + lots of featuring, ,21:30,28jun 2023,2023-06-28 21:30:00+02:00
Aunty Rayzor,https://www.roskilde-festival.dk/da/years/2023/acts/aunty-rayzor/,NG,🏝️ Gloria,20:30 Fredag 30. juni 2023,https://www.instagram.com/auntyrayzor/,https://open.spotify.com/artist/2Fn2ztLqyHRiJw53gXonuz?si=Vd4SacbJS7O-e9_h4J9J5A,Fremadstormende nigeriansk rapper med barberbladskarp tunge ,😌Tømmermændsmusik, ,meh, ,20:30,30jun 2023,2023-06-30 20:30:00+02:00
Baby Volcano,https://www.roskilde-festival.dk/da/years/2023/acts/baby-volcano/,CH,Platform,21:15 Fredag 30. juni 2023,https://www.instagram.com/babyvolcano__/,https://open.spotify.com/artist/4v7IAW1zJCPQNdq3UpiDoU?si=Ff5w9kBIQ62SINZbRfL0zA,I en blanding af hedensk ritual og elektronisk musik lader Baby Volcano den soniske lava flyde ,😌Tømmermændsmusik, , , ,21:15,30jun 2023,2023-06-30 21:15:00+02:00
"Babyface Mo, Casper Frøkjær, Nationalmuseet & Nima Tisdall",https://www.roskilde-festival.dk/da/years/2023/acts/babyface-mo-casper-fr%C3%B8kj%C3%A6r-nationalmuseet-nima-tisdall/,DK,📣 Flokkr,12:30 Søndag 25. juni 2023,https://www.instagram.com/roskildefestival/,,Privatøkonomi kan være svært og sårbart at tale om – vær med til at bryde tabuet!, , , , ,12:30,25jun 2023,2023-06-25 12:30:00+02:00
Backxwash,https://www.roskilde-festival.dk/da/years/2023/acts/backxwash/,ZM/CA,🏝️ Gloria,22:30 Fredag 30. juni 2023,https://www.instagram.com/backxwash/,https://open.spotify.com/artist/4du3q8TIzsZxZZKdRT23Jg?si=5Z8m-tAmTQy_3NpqfLwlyA&dl_branch=1,Zambiansk-canadisk queer-kunstner kalder til modstand med brutal blanding af hiphop og metal ,💀Nej, ,hiphop/metal, ,22:30,30jun 2023,2023-06-30 22:30:00+02:00
Bala Desejo,https://www.roskilde-festival.dk/da/years/2023/acts/bala-desejo/,BR,🌍 Gaia,21:00 Onsdag 28. juni 2023,https://www.instagram.com/baladesejo/,https://open.spotify.com/artist/4MF1QlpuvKRIfkmfOA4DrH?si=BtZhv8CwSC6cCsQ95hmvlQ,Ung Rio de Janeiro-kvartet viser nye veje for tropicália.,👍Ja, ,"Movie-esque quality; when the protagonist has just succeded big-time in the middle of the movie, and is looked up to by everyone in Rio De Jainero", ,21:00,28jun 2023,2023-06-28 21:00:00+02:00
Baloosh,https://www.roskilde-festival.dk/da/years/2023/acts/baloosh/,,👩 Eos,20:45 Søndag 25. juni 2023,https://www.instagram.com/its_baloosh/,https://open.spotify.com/artist/5IpqfN8Pqjy89nj1IfuOXC?si=Xr9N6dOfQum7SUXWq-T2CQ,Rap-håb fra Aarhus V leverer rå fortællinger med en dramatisk vokal , , , , ,20:45,25jun 2023,2023-06-25 20:45:00+02:00
"Barbora Surá, Kathrine Skibsted, Mikkel Lind Sorgenfrey & Sadaf Hayat",https://www.roskilde-festival.dk/da/years/2023/acts/barbora-sur%C3%A1-kathrine-skibsted-mikkel-lind-sorgenfrey-sadaf-hayat/,DK/CZ,📣 Flokkr,13:00 Tirsdag 27. juni 2023,https://www.instagram.com/mikkelbaby/?hl=da,,"Bliv klogere på fast fashion og lær, hvordan du kan begrænse dit tøjforbrug", , , , ,13:00,27jun 2023,2023-06-27 13:00:00+02:00
Baum & Leahy,https://www.roskilde-festival.dk/da/years/2023/acts/baum-leahy/,DK/UK,📣 Flokkr,Søndag 25. juni 2023,https://www.instagram.com/baumleahy,,Den prisvindende kunstnerduo genskaber FLOKKR-scenen som et verdensopbyggende tentakulært væsen, , , , ,13:37,25jun 2023,2023-06-25 13:37:00+02:00
Benny Jamz,https://www.roskilde-festival.dk/da/years/2023/acts/benny-jamz/,DK,👩 Eos,17:15 Onsdag 28. juni 2023,https://www.instagram.com/bennyjamzlive/,https://open.spotify.com/artist/2eBqkaIfoNsOPCQCQEy5fD?si=sqKet_thTq2qS0TNhG9Q8w,Rapperen fra B.O.C-kollektivet indtager Roskilde med sit skæve sproglige univers,🤡Wildcard, ,sikkert vild stemning til koncerten. Lidt for generisk autotune-dancehall-hiphop ish til mig,🎤🎧🔥📝,17:15,28jun 2023,2023-06-28 17:15:00+02:00
Betty Nansen,https://www.roskilde-festival.dk/da/years/2023/acts/betty-nansen/,DK,Platform,23:30 Fredag 30. juni 2023,https://www.instagram.com/bettynansenteatret/,,Flygt ind i en drømmeagtig glitrende skov ved Platform , , , , ,23:30,30jun 2023,2023-06-30 23:30:00+02:00
Big Freedia,https://www.roskilde-festival.dk/da/years/2023/acts/big-freedia/,US,👩 Eos,00:30 Lørdag 1. juli 2023,https://www.instagram.com/bigfreedia/,https://open.spotify.com/artist/2gyv1akuIB9fQvXoGSPaJr?si=257043ae9ffd4da9,Dronningen af bounce-hiphop kommer til Roskilde Festival!,🤡Wildcard, ,major lazer vibe,👑🎤🎶🕺,00:30,1jul 2023,2023-07-02 00:30:00+02:00
Big Joanie,https://www.roskilde-festival.dk/da/years/2023/acts/big-joanie/,UK,🌍 Gaia,19:15 Onsdag 28. juni 2023,https://www.instagram.com/bigjoanieband/,https://open.spotify.com/artist/39cxr26gqrCiUgIkz4lA8j?si=1fuDQ9qdSKmR_W0fba1a8Q,"Sort, feministisk punk med plads til både synths og soul ",😌Tømmermændsmusik, ,punk, ,19:15,28jun 2023,2023-06-28 19:15:00+02:00
Biig Piig,https://www.roskilde-festival.dk/da/years/2023/acts/biig-piig/,IE,👩 Eos,23:15 Onsdag 28. juni 2023,https://www.instagram.com/biig_piig/,https://open.spotify.com/artist/4GoD5FJCgC0lbzde7ly44M,"Soul, pop og hiphop i sensuel og solbeskinnet blanding ",👍Ja, ,r&b pop hot girl summer anthem, ,23:15,28jun 2023,2023-06-28 23:15:00+02:00
Billy Woods,https://www.roskilde-festival.dk/da/years/2023/acts/billy-woods/,US,👩 Eos,21:30 Onsdag 28. juni 2023,https://www.instagram.com/roskildefestival/,https://open.spotify.com/artist/39vtb2iiz3079nqfL5nfFc?si=Aswh_AieQFakmAqRsnELDg,"Solo-optræden fra den eksperimenterende rapper, der også optræder med Armand Hammer",😌Tømmermændsmusik, ,hiphop med dybe tekster men lidt for slow vibe til mig, ,21:30,28jun 2023,2023-06-28 21:30:00+02:00
"Black Country, New Road",https://www.roskilde-festival.dk/da/years/2023/acts/black-country-new-road/,UK,🎪 Arena,15:15 Lørdag 1. juli 2023,https://www.instagram.com/blackcountrynewroad/?hl=en,https://open.spotify.com/artist/3PP6ghmOlDl2jaKaH0avUN,Forrygende engelsk orkester bringer den eksperimenterende rock ind i nye og forunderlige egne, , , , ,15:15,1jul 2023,2023-07-01 15:15:00+02:00
Blur,https://www.roskilde-festival.dk/da/years/2023/acts/blur/,UK,🟠 Orange,22:30 Fredag 30. juni 2023,https://www.instagram.com/blurofficial/,https://open.spotify.com/artist/7MhMgCo0Bl0Kukl93PZbYS?si=-pGfUtHkQJ27_6fVuSFg9w,Den ikoniske britiske kvartet vender endelig tilbage til Orange Scene.,👍Ja,😌Tømmermændsmusik, , ,22:30,30jun 2023,2023-06-30 22:30:00+02:00
Blæst,https://www.roskilde-festival.dk/da/years/2023/acts/bl%C3%A6st/,DK,🟠 Orange,18:30 Onsdag 28. juni 2023,https://www.instagram.com/blaestband/,https://open.spotify.com/artist/3elCsuJ1JjDeAd8mjlRRX5?si=qGDAPPyfR02rLOQTn7g-0g,En brusende sommervind af forelsket dansk popmusik åbner Orange Scene ,😌Tømmermændsmusik, ,pop pop pop pop ppo popppoo pop op op o po popop , ,18:30,28jun 2023,2023-06-28 18:30:00+02:00
Blæst,https://www.roskilde-festival.dk/da/years/2023/acts/bl%C3%A6st/,DK,🟠 Orange,18:30 Onsdag 28. juni 2023,https://www.instagram.com/blaestband/,https://open.spotify.com/artist/3elCsuJ1JjDeAd8mjlRRX5?si=qGDAPPyfR02rLOQTn7g-0g,En brusende sommervind af forelsket dansk popmusik åbner Orange Scene ,😌Tømmermændsmusik, ,pop pop pop pop ppo popppoo pop op op o po popop , ,18:30,28jun 2023,2023-06-28 18:30:00+02:00
Body Type,https://www.roskilde-festival.dk/da/years/2023/acts/body-type/,AU,🌍 Gaia,16:00 Fredag 30. juni 2023,https://www.instagram.com/bodytypeband/,https://open.spotify.com/artist/2gOqvEhTe5TjetSBfivC4D?si=zePv1UaSSLGWkFZZlOoDBw,Knivskarp post-punk fra fremadstormende australsk kvartet,💀Nej,💀Nej,joan jett wannabe, ,16:00,30jun 2023,2023-06-30 16:00:00+02:00
Brimheim,https://www.roskilde-festival.dk/da/years/2023/acts/brimheim/,DK,🏝️ Avalon,23:30 Onsdag 28. juni 2023,https://www.instagram.com/brimheim/,https://open.spotify.com/artist/2ROf9t2bzHTnVuf8btRd5J?si=1yO9QDIrSz6UAP4HpKPXwg,Med nyt album under opsejling indtager den hudløse indie-sangerinde Roskilde,👍Ja, ,"INDIE. Grænsende til ""Hvis ikke vi har andet at bruge tømmermændende på""", ,23:30,28jun 2023,2023-06-28 23:30:00+02:00
Bru-C,https://www.roskilde-festival.dk/da/years/2023/acts/bru-c/,UK,🚀 Apollo,02:30 Fredag 30. juni 2023,https://www.instagram.com/iambru_uk,https://open.spotify.com/artist/7GDrXlpRrdG29o4n0pNR5D,Fremtidens mand i engelsk hiphop inviterer til kæmpe klubfest. ,😌Tømmermændsmusik,🤡Wildcard,ææhhhh hiphop d&b måske fed fest??, ,02:30,30jun 2023,2023-07-01 02:30:00+02:00
Burna Boy,https://www.roskilde-festival.dk/da/years/2023/acts/burna-boy/,NG,🟠 Orange,01:00 Torsdag 29. juni 2023,https://www.instagram.com/burnaboygram,https://open.spotify.com/artist/3wcj11K77LjEY1PkEazffa,Nigeriansk superstjerne kommer til Roskilde Festival med spektakulært liveshow. ,👍Ja,👍Ja,african flavour slow hiphop, ,01:00,29jun 2023,2023-06-30 01:00:00+02:00
Busta Rhymes,https://www.roskilde-festival.dk/da/years/2023/acts/busta-rhymes/,US,🟠 Orange,17:00 Torsdag 29. juni 2023,https://www.instagram.com/bustarhymes/,https://open.spotify.com/artist/1YfEcTuGvBQ8xSD1f53UnK?si=mGnCIYANQiO4MS0SmBmf-A,Legendarisk rapper rammer Roskilde med klassikere og vitalt nyt materiale ,🤯JA!,😌Tømmermændsmusik,"Break your fucking neck, bitches!", ,17:00,29jun 2023,2023-06-29 17:00:00+02:00
"Camilla Tved, Melissa Hartelius, Naima Yasin & Sol Wendel",https://www.roskilde-festival.dk/da/years/2023/acts/camilla-tved-melissa-hartelius-naima-yasin-sol-wendel/,DK,📣 Flokkr,16:30 Søndag 25. juni 2023,https://www.instagram.com/roskildefestival/,,"Deltag i samtale om, hvordan vi skaber fremdrift for den seksuelle frigørelse uden at skabe nye negative normer", , , , ,16:30,25jun 2023,2023-06-25 16:30:00+02:00
Candy,https://www.roskilde-festival.dk/da/years/2023/acts/candy/,US,🌍 Gaia,02:00 Fredag 30. juni 2023,https://www.instagram.com/candygonnadie/,https://open.spotify.com/artist/4oWlenweHbPcDXKvyNUbBl?si=RnMB4Sc6SH-59dNkVxgNYw,"Forvent ingen sødme, når Candy trækker dig gennem et støjende søle",💀Nej,💀Nej,big fat no, ,02:00,30jun 2023,2023-07-01 02:00:00+02:00
Caroline,https://www.roskilde-festival.dk/da/years/2023/acts/caroline/,UK,🏝️ Gloria,14:30 Fredag 30. juni 2023,https://www.instagram.com/carolinetheband/,https://open.spotify.com/artist/2e74MUhJZSeg2Goe2UUAj3?si=u3orxiUoQEqrP8MvjdKAoQ,Smukke atmosfærer og minimalistiske folk-meditationer fra engelsk kollektiv , , , , ,14:30,30jun 2023,2023-06-30 14:30:00+02:00
Caroline Polachek,https://www.roskilde-festival.dk/da/years/2023/acts/caroline-polachek/,US,🎪 Arena,17:30 Lørdag 1. juli 2023,https://www.instagram.com/carolineplz,https://open.spotify.com/artist/4Ge8xMJNwt6EEXOzVXju9a?si=Dm5MHyRcTWuI1KcW1kZjwQ,Velkommen til Caroline Polacheks sensuelle og magiske pop-ørige,👍Ja, ,Rimelig standard men god pop, ,17:30,1jul 2023,2023-07-01 17:30:00+02:00
Central Cee,https://www.roskilde-festival.dk/da/years/2023/acts/central-cee/,UK,🎪 Arena,23:45 Torsdag 29. juni 2023,https://www.instagram.com/central__cee__/,https://open.spotify.com/artist/5H4yInM5zmHqpKIoMNAx4r?si=2dfiUBoYSRKkyUYiaCZVSw,Hypet engelsk rapper og drill-stjerne indtager Roskilde med sit stærke flow,🤡Wildcard, ,london hiphop med populr samples,🎤🇬🇧💪🔥,23:45,29jun 2023,2023-06-29 23:45:00+02:00
Cern & Niels Bohr Institutet,https://www.roskilde-festival.dk/da/years/2023/acts/cern-niels-bohr-institutet/,DK/CH,⛺ Campsite,Søndag 25. juni 2023,https://www.instagram.com/cern/,,Videnskab som du aldrig før har oplevet det! , , , , ,13:37,25jun 2023,2023-06-25 13:37:00+02:00
Charlotte Adigéry & Bolis Pupul,https://www.roskilde-festival.dk/da/years/2023/acts/charlotte-adig%C3%A9ry-bolis-pupul/,BE,👩 Eos,22:00 Lørdag 1. juli 2023,http://instagram.com/adigerwww,https://open.spotify.com/artist/0h1gX589xBKUCijeC8Bewy?si=f9eCgUqQSv-wSBh-1uSgiQ,Original duo dekonstruerer patriarkatet med syret og sarkastisk elektropop-show , , , , ,22:00,1jul 2023,2023-07-01 22:00:00+02:00
Chat Pile,https://www.roskilde-festival.dk/da/years/2023/acts/chat-pile/,,🏝️ Gloria,19:30 Onsdag 28. juni 2023,https://www.instagram.com/chatpileband/,https://open.spotify.com/artist/4yRSUmhuSJ3KcIMljdh4fH?si=NLbv-YnmS1evdPzB_uZksA,Ætsende civilisationskritik badet i blodig støjrock og knusende sludge ,💀Nej, ,tung metal, ,19:30,28jun 2023,2023-06-28 19:30:00+02:00
Christine And The Queens,https://www.roskilde-festival.dk/da/years/2023/acts/christine-and-the-queens/,FR,🟠 Orange,01:00 Fredag 30. juni 2023,https://www.instagram.com/christineandthequeens,https://open.spotify.com/artist/04vj3iPUiVh5melWr0w3xT,Fransk popstjerne vender tilbage til Dyrskuepladsen med overdådigt liveshow. ,👍Ja,🤯JA!, , ,01:00,30jun 2023,2023-07-01 01:00:00+02:00
Chupame El Dedo,https://www.roskilde-festival.dk/da/years/2023/acts/chupame-el-dedo/,,🌍 Gaia,02:15 Torsdag 29. juni 2023,https://www.instagram.com/chupameeldedo/,https://open.spotify.com/artist/4xuTb7SFiVkESJFuxFk9Qb?si=tsQyhQk4SVyO3zkH0-amow,Kutteklædte satantilbedere med hang til tropiske rytmer ,🤡Wildcard,🤡Wildcard,LSD + tequila = det her musik,👹🎸🎶🏝️,02:15,29jun 2023,2023-06-30 02:15:00+02:00
Clarissa Connelly'S Canons,https://www.roskilde-festival.dk/da/years/2023/acts/clarissa-connellys-canons/,DK,Platform,12:00 Torsdag 29. juni 2023,https://www.instagram.com/clarissa.connelly/,https://open.spotify.com/artist/5YTJVNTfb9qDXATTlzuR5S?si=pIzOLU4FSJGIGka0s8yFCg,Clarissa Connelly forbinder folkemusik og fornyelse i tre særlige seancer,😌Tømmermændsmusik,😌Tømmermændsmusik,very special uh. pop? celtic folk pop. Playing 3 shows, ,12:00,29jun 2023,2023-06-29 12:00:00+02:00
Clarissa Connelly'S Canons,https://www.roskilde-festival.dk/da/years/2023/acts/clarissa-connellys-canons/,DK,Platform,12:00 Torsdag 29. juni 2023,https://www.instagram.com/clarissa.connelly/,https://open.spotify.com/artist/5YTJVNTfb9qDXATTlzuR5S?si=pIzOLU4FSJGIGka0s8yFCg,Clarissa Connelly forbinder folkemusik og fornyelse i tre særlige seancer,😌Tømmermændsmusik,😌Tømmermændsmusik,very special uh. pop? celtic folk pop. Playing 3 shows. Spis frokost med det her i baggrunden, ,12:00,29jun 2023,2023-06-29 12:00:00+02:00
Clarissa Connelly'S Canons,https://www.roskilde-festival.dk/da/years/2023/acts/clarissa-connellys-canons/,DK,Platform,12:00 Torsdag 29. juni 2023,https://www.instagram.com/clarissa.connelly/,https://open.spotify.com/artist/5YTJVNTfb9qDXATTlzuR5S?si=pIzOLU4FSJGIGka0s8yFCg,Clarissa Connelly forbinder folkemusik og fornyelse i tre særlige seancer,😌Tømmermændsmusik,😌Tømmermændsmusik,very special uh. pop? celtic folk pop. Playing 3 shows, ,12:00,29jun 2023,2023-06-29 12:00:00+02:00
Clarissa Connelly'S Canons,https://www.roskilde-festival.dk/da/years/2023/acts/clarissa-connellys-canons/,DK,Platform,12:00 Torsdag 29. juni 2023,https://www.instagram.com/clarissa.connelly/,https://open.spotify.com/artist/5YTJVNTfb9qDXATTlzuR5S?si=pIzOLU4FSJGIGka0s8yFCg,Clarissa Connelly forbinder folkemusik og fornyelse i tre særlige seancer,😌Tømmermændsmusik,😌Tømmermændsmusik,very special uh. pop? celtic folk pop. Playing 3 shows, ,12:00,29jun 2023,2023-06-29 12:00:00+02:00
Clarissa Connelly'S Canons,https://www.roskilde-festival.dk/da/years/2023/acts/clarissa-connellys-canons/,DK,Platform,12:00 Torsdag 29. juni 2023,https://www.instagram.com/clarissa.connelly/,https://open.spotify.com/artist/5YTJVNTfb9qDXATTlzuR5S?si=pIzOLU4FSJGIGka0s8yFCg,Clarissa Connelly forbinder folkemusik og fornyelse i tre særlige seancer,😌Tømmermændsmusik,😌Tømmermændsmusik,very special uh. pop? celtic folk pop. Playing 3 shows. Spis frokost med det her i baggrunden, ,12:00,29jun 2023,2023-06-29 12:00:00+02:00
Clarissa Connelly'S Canons,https://www.roskilde-festival.dk/da/years/2023/acts/clarissa-connellys-canons/,DK,Platform,12:00 Torsdag 29. juni 2023,https://www.instagram.com/clarissa.connelly/,https://open.spotify.com/artist/5YTJVNTfb9qDXATTlzuR5S?si=pIzOLU4FSJGIGka0s8yFCg,Clarissa Connelly forbinder folkemusik og fornyelse i tre særlige seancer,😌Tømmermændsmusik,😌Tømmermændsmusik,very special uh. pop? celtic folk pop. Playing 3 shows, ,12:00,29jun 2023,2023-06-29 12:00:00+02:00
