Kendrick Lamar,https://www.roskilde-festival.dk/da/years/2023/acts/kendrick-lamar/,US,Orange,22:00 Onsdag 28. juni 2023,https://www.instagram.com/kendricklamar/,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,En af vor tids vigtigste rappere vender endelig tilbage til Orange Scene!
Queens Of The Stone Age,https://www.roskilde-festival.dk/da/years/2023/acts/queens-of-the-stone-age/,US,Arena,00:15 Onsdag 28. juni 2023,https://www.instagram.com/queensofthestoneage,https://open.spotify.com/artist/4pejUc4iciQfgdX6OKulQn,Josh Hommes ørkenrock-mastodonter er tilbage med nyt materiale.
Blæst,https://www.roskilde-festival.dk/da/years/2023/acts/bl%C3%A6st/,DK,Orange,18:30 Onsdag 28. juni 2023,https://www.instagram.com/blaestband/,https://open.spotify.com/artist/3elCsuJ1JjDeAd8mjlRRX5?si=qGDAPPyfR02rLOQTn7g-0g,En brusende sommervind af forelsket dansk popmusik åbner Orange Scene 
Kendrick Lamar,https://www.roskilde-festival.dk/da/years/2023/acts/kendrick-lamar/,US,Orange,22:00 Onsdag 28. juni 2023,https://www.instagram.com/kendricklamar/,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,En af vor tids vigtigste rappere vender endelig tilbage til Orange Scene!
Queens Of The Stone Age,https://www.roskilde-festival.dk/da/years/2023/acts/queens-of-the-stone-age/,US,Arena,00:15 Onsdag 28. juni 2023,https://www.instagram.com/queensofthestoneage,https://open.spotify.com/artist/4pejUc4iciQfgdX6OKulQn,Josh Hommes ørkenrock-mastodonter er tilbage med nyt materiale.
Blæst,https://www.roskilde-festival.dk/da/years/2023/acts/bl%C3%A6st/,DK,Orange,18:30 Onsdag 28. juni 2023,https://www.instagram.com/blaestband/,https://open.spotify.com/artist/3elCsuJ1JjDeAd8mjlRRX5?si=qGDAPPyfR02rLOQTn7g-0g,En brusende sommervind af forelsket dansk popmusik åbner Orange Scene 
Fever Ray,https://www.roskilde-festival.dk/da/years/2023/acts/fever-ray/,SE,Arena,18:00 Onsdag 28. juni 2023,https://www.instagram.com/feverray/,https://open.spotify.com/artist/5hE6NCoobhyEu6TRSbjOJY?si=7MONiDTWQUuQN_Iw76KiXA,Fever Ray skubber atter til grænserne for poppen med sin radikale romantik
Lorna Shore,https://www.roskilde-festival.dk/da/years/2023/acts/lorna-shore/,US,Avalon,21:30 Onsdag 28. juni 2023,https://www.instagram.com/lornashore/?hl=da,https://open.spotify.com/artist/6vXYoy8ouRVib302zxaxFF?si=ZZ_5FJK6QKetqBUGskj7hA,Amerikansk deathcore-band leverer teknisk ekvilibrisme og et intenst sceneshow.
Rema,https://www.roskilde-festival.dk/da/years/2023/acts/rema/,NG,Arena,21:00 Onsdag 28. juni 2023,https://www.instagram.com/heisrema/,https://open.spotify.com/artist/46pWGuE3dSwY3bMMXGBvVS?si=ML0yJPlXRPqx4iBH4W4NCw,Den unge nigerianske stjerne bringer sine afro-rave-sange til Roskilde
Villano Antillano,https://www.roskilde-festival.dk/da/years/2023/acts/villano-antillano/,PR,Eos,19:00 Onsdag 28. juni 2023,https://www.instagram.com/villanoantillano/,https://open.spotify.com/artist/1pi7nGhOM7PTHR5YEgXVGq?autoplay=true,Den transkønnede rapper skaber revolution på den latinamerikanske musikscene
Abji_Hypersun Feat. Moraya,https://www.roskilde-festival.dk/da/years/2023/acts/abji_hypersun-feat-moraya/,DK,Platform,00:15 Onsdag 28. juni 2023,https://www.instagram.com/abji_hypersun/,https://open.spotify.com/artist/5t15kyeJJYD6BnJ6s8J1Rt?si=G6CO5FOoS460YUUNBfSy-A,"En drømmende, teatralsk og radikal performance dedikeret til modstandens ånd "
Armand Hammer,https://www.roskilde-festival.dk/da/years/2023/acts/armand-hammer/,US,Eos,20:45 Onsdag 28. juni 2023,https://www.instagram.com/armandhammernyc/,https://open.spotify.com/artist/3SCI7sXHUZIeDKMWC5NT9C?si=YZR2UxnVRQe7b4wxrqpWxw,Innovativ New Yorker-duo byder på ætsende og politisk rap
August Rosenbaum,https://www.roskilde-festival.dk/da/years/2023/acts/august-rosenbaum/,,Gloria,21:30 Onsdag 28. juni 2023,https://www.instagram.com/augustrosenbaum_/?hl=en,https://open.spotify.com/artist/60jACvCiMkGWezYS8VZXQ4?si=qixV9XicTsivCeFs0c0haQ,Ambitiøs musikalsk ener på sjælfuldt popeventyr  
Bala Desejo,https://www.roskilde-festival.dk/da/years/2023/acts/bala-desejo/,BR,Gaia,21:00 Onsdag 28. juni 2023,https://www.instagram.com/baladesejo/,https://open.spotify.com/artist/4MF1QlpuvKRIfkmfOA4DrH?si=BtZhv8CwSC6cCsQ95hmvlQ,Ung Rio de Janeiro-kvartet viser nye veje for tropicália.
Benny Jamz,https://www.roskilde-festival.dk/da/years/2023/acts/benny-jamz/,DK,Eos,17:15 Onsdag 28. juni 2023,https://www.instagram.com/bennyjamzlive/,https://open.spotify.com/artist/2eBqkaIfoNsOPCQCQEy5fD?si=sqKet_thTq2qS0TNhG9Q8w,Rapperen fra B.O.C-kollektivet indtager Roskilde med sit skæve sproglige univers
Big Joanie,https://www.roskilde-festival.dk/da/years/2023/acts/big-joanie/,UK,Gaia,19:15 Onsdag 28. juni 2023,https://www.instagram.com/bigjoanieband/,https://open.spotify.com/artist/39cxr26gqrCiUgIkz4lA8j?si=1fuDQ9qdSKmR_W0fba1a8Q,"Sort, feministisk punk med plads til både synths og soul "
Biig Piig,https://www.roskilde-festival.dk/da/years/2023/acts/biig-piig/,IE,Eos,23:15 Onsdag 28. juni 2023,https://www.instagram.com/biig_piig/,https://open.spotify.com/artist/4GoD5FJCgC0lbzde7ly44M,"Soul, pop og hiphop i sensuel og solbeskinnet blanding "
Billy Woods,https://www.roskilde-festival.dk/da/years/2023/acts/billy-woods/,US,Eos,21:30 Onsdag 28. juni 2023,https://www.instagram.com/roskildefestival/,https://open.spotify.com/artist/39vtb2iiz3079nqfL5nfFc?si=Aswh_AieQFakmAqRsnELDg,"Solo-optræden fra den eksperimenterende rapper, der også optræder med Armand Hammer"
Brimheim,https://www.roskilde-festival.dk/da/years/2023/acts/brimheim/,DK,Avalon,23:30 Onsdag 28. juni 2023,https://www.instagram.com/brimheim/,https://open.spotify.com/artist/2ROf9t2bzHTnVuf8btRd5J?si=1yO9QDIrSz6UAP4HpKPXwg,Med nyt album under opsejling indtager den hudløse indie-sangerinde Roskilde
Chat Pile,https://www.roskilde-festival.dk/da/years/2023/acts/chat-pile/,,Gloria,19:30 Onsdag 28. juni 2023,https://www.instagram.com/chatpileband/,https://open.spotify.com/artist/4yRSUmhuSJ3KcIMljdh4fH?si=NLbv-YnmS1evdPzB_uZksA,Ætsende civilisationskritik badet i blodig støjrock og knusende sludge 
